,,,,,,,,,,
Theme: Population,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,
"Table Title: Singapore Residents By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,
,,,,,,,,,,
Data last updated: 27/09/2022,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Number
  40 - 44 Years,104362,104660,105892,109212,110080,111298,111470,110102,108947,108378
  45 - 49 Years,110281,110551,109048,107610,106909,108315,111126,115135,117903,120103
  50 - 54 Years,106051,109012,112715,115156,117173,118039,118717,118916,118759,119137
  55 - 59 Years,114766,115628,115822,115478,115891,114879,113178,111290,108646,104682
  60 - 64 Years,110715,109243,107316,104638,100764,97035,93875,90404,87027,84527
  65 - 69 Years,92021,89176,85687,82321,79855,73661,65144,58695,52217,45669
  70 - 74 Years,67776,59862,53792,47722,41479,40737,42164,41562,40696,38943
  75 - 79 Years,35191,36413,35684,34843,33270,30617,28394,25900,24440,23859
  80 - 84 Years,24009,22303,20059,18718,18180,17255,15940,15046,14098,13191
  85 - 89 Years,11349,10381,9702,8972,8372,7720,7062,6335,5887,5360
  65 Years & Over,235313,222693,209047,196409,184649,173276,161752,150516,140140,129697
  70 Years & Over,143292,133517,123360,114088,104794,99615,96608,91821,87923,84028
  75 Years & Over,75516,73655,69568,66366,63315,58878,54444,50259,47227,45085
  80 Years & Over,40325,37242,33884,31523,30045,28261,26050,24359,22787,21226
  85 Years & Over,16316,14939,13825,12805,11865,11006,10110,9313,8689,8035
  90 Years & Over,4967,4558,4123,3833,3493,3286,3048,2978,2802,2675
Total Female Chinese,1545425,1538000,1523906,1511968,1497928,1484704,1470453,1458568,1446378,1432589
  0 - 4 Years,60058,61341,61658,63058,63234,62057,61543,61849,62238,61615
  5 - 9 Years,66704,66410,66558,66455,65998,66418,66211,65569,65648,66191
  10 - 14 Years,67631,67678,66752,66598,66935,69774,71955,73976,76622,79734
  15 - 19 Years,71081,73472,74912,77408,80391,81913,83967,87625,89080,89936
  20 - 24 Years,83744,85911,88579,89968,90928,92491,92582,94681,94133,90166
  25 - 29 Years,105382,105926,108120,108422,104463,101120,99187,94507,93812,96675
  30 - 34 Years,114650,113405,107978,106962,109155,110839,110916,112654,112033,113208
  35 - 39 Years,115053,115478,116767,115729,116593,116429,116487,117668,120982,121267
  40 - 44 Years,116766,117376,118524,121594,121695,122989,122882,121263,119310,117315
  45 - 49 Years,122098,122466,120688,118325,116313,115886,116414,118279,119469,120835
  50 - 54 Years,114093,114976,116686,117531,118733,118458,118980,118587,118400,118598
  55 - 59 Years,116221,117007,116668,116335,116590,115878,114196,111664,108408,104272
  60 - 64 Years,113310,111913,109436,106162,102107,97839,94552,91423,88727,86567
  65 - 69 Years,95076,92066,88995,86261,84026,77724,68979,62892,55695,49085
